sample_id	species	longitude	latitude	altitude
3	Zea mays ssp. mays	-107.583	28.68577778	1975
68	Zea mays ssp. mays	-97.92944444	19.29083333	2497
91	Zea mays ssp. mays	-108.9246667	28.53702778	1435
39	Zea mays ssp. mays	-92.97972222	16.03225	618
12	Zea mays ssp. mays	-101.1188889	20.09111111	1877
41	Zea mays ssp. mays	-100.7658333	20.74416667	1800
35	Zea mays ssp. mays	-100.2275	18.66027778	1390
58	Zea mays ssp. mays	-99.71715556	19.79833333	2688
51	Zea mays ssp. mays	-98.21666667	16.3	50
82	Zea mays ssp. mays	-91.97702778	16.19611111	1553
67	Zea mays ssp. mays	-97.98805556	19.35916667	2530
93	Zea mays ssp. mays	-100.1686111	19.0525	1830
21	Zea mays ssp. mays	-98.74311111	17.78013889	1312
6	Zea mays ssp. mays	-108.0152222	28.45538889	2215
101	Zea mays ssp. mays	-98.04833333	19.51888889	2557
27	Zea mays ssp. mays	-98.77861111	18.9975	2226
43	Zea mays ssp. mays	-99.50972222	19.18472222	2585
1	Zea mays ssp. mays	-108.0796111	29.11311111	2106
33	Zea mays ssp. mays	-106.8788889	28.19322222	2094
100	Zea mays ssp. mays	-108.3833333	26.39472222	299
24	Zea mays ssp. mays	-106.63225	28.49672222	2010
103	Zea mays ssp. mays	-100.1083333	19.04388889	1779
72	Zea mays ssp. mays	-98.37861111	20.33166667	2059
10	Zea mays ssp. mays	-108.0082222	27.43477778	1734
28	Zea mays ssp. mays	-97.56488889	19.96466667	1604
49	Zea mays ssp. mays	-99.805	21.2775	1850
56	Zea mays ssp. mays	-99.79111111	19.56944444	2538
66	Zea mays ssp. mays	-97.9725	19.32166667	2621
52	Zea mays ssp. mays	-96.73333333	18.01666667	1250
47	Zea mays ssp. mays	-104.4286944	21.10166667	1153
80	Zea mays ssp. mays	-93.09966667	16.62313889	455
65	Zea mays ssp. mays	-97.92472222	19.19055556	2640
94	Zea mays ssp. mays	-100.1686111	19.0525	1830
36	Zea mays ssp. mays	-108.5333333	28.13333333	950
26	Zea mays ssp. mays	-96.78333333	18.5	201
105	Zea mays ssp. mays	-111.9864167	26.89047222	5
30	Zea mays ssp. mays	-98.80944444	18.96805556	2073
16	Zea mays ssp. mays	-105.5463889	22.88972222	220
42	Zea mays ssp. mays	-100.8147222	20.78444444	1854
4	Zea mays ssp. mays	-109.2996667	29.90441667	537
31	Zea mays ssp. mays	-99.50888889	19.19638889	2585
17	Zea mays ssp. mays	-92.08888889	17.32222222	120
46	Zea mays ssp. mays	-104.4405556	21.1	1060
5	Zea mays ssp. mays	-97.98080556	19.93408333	2159
32	Zea mays ssp. mays	-99.61805556	19.1675	2700
19	Zea mays ssp. mays	-103.6666667	19.93333333	2160
50	Zea mays ssp. mays	-100.13722	21.3575	2500
8	Zea mays ssp. mays	-108.0157778	28.45730556	2220
34	Zea mays ssp. mays	-107.4748056	28.50283333	2034
23	Zea mays ssp. mays	-98.74188889	17.77797222	1685
54	Zea mays ssp. mays	-106.4436667	26.35983333	2769
14	Zea mays ssp. mays	-101.4052778	21.00861111	1823
37	Zea mays ssp. mays	-99.59527778	19.41808889	2595
25	Zea mays ssp. mays	-106.6291111	28.49488889	2010
55	Zea mays ssp. mays	-100.0255556	19.49083333	2576
40	Zea mays ssp. mays	-93.00194444	16.36402778	654
29	Zea mays ssp. mays	-98.77861111	18.9975	2226
60	Zea mays ssp. mays	-97.65222222	19.31916667	2358
44	Zea mays ssp. mays	-100.0627778	19.46055556	2605
74	Zea mays ssp. mays	-98.37388889	20.35888889	2104
89	Zea mays ssp. mays	-105.8916667	23.40611111	929
64	Zea mays ssp. mays	-98.05666667	19.59972222	2745
